,u0e,u1e,sige,p11e,p22e
0,0.9719955584752811,2.988386103613349,0.9999999999994491,0.9136598728855075,0.9021004001603785
1,0.957478638252287,2.9565807281661316,0.9564319583323023,0.8822736647733379,0.8772594352556377
2,1.011832699634401,2.9384759771291376,1.0,0.8919406892200163,0.8982802377840771
3,0.9503781724754664,2.966578117138425,1.0,0.8698402634826081,0.8885293038879544
4,1.0243214487519454,3.0681528629490433,0.9217648912110525,0.8747006463449503,0.8770824759905635
5,1.0297298079506096,2.987331463696651,0.9844056904781071,0.8896349735100912,0.8859526916253243
6,1.010048385400772,3.0136222859687165,0.9882754954642741,0.8986076142345326,0.8930192455616044
7,0.9663248966392184,3.022968219417351,0.9566142467575067,0.8902879941333193,0.8964873180005898
8,0.9493314954148039,3.0162258221486993,1.0,0.9039711863499663,0.8981841071468634
9,1.0204877602761084,3.025379124630823,0.9755248885838704,0.8924098004152234,0.9004618636916704
10,1.009719722121871,2.993434312088213,0.973353854227025,0.8995011082052515,0.9034569421972797
11,1.068280416753506,3.0564380434140763,1.0,0.9046651150900863,0.912581132570219
12,0.9539985523103406,2.9586175442944262,0.9891140560374193,0.8978165153398641,0.9208949316427009
13,0.9996453352873619,3.0505566281297942,1.0,0.8934676645253833,0.886937863818763
14,0.9692011712066231,3.0264089955941484,0.9365749937343401,0.8913724534834286,0.8986391275821802
15,0.9557959683809494,2.9755496481172767,1.0,0.8970736452218638,0.9100775702276556
16,0.9846389706660117,2.9680202010029113,0.9869815703330491,0.8872015621297918,0.8960482741623299
17,1.0090852159204835,3.06471013650728,0.9999999999999984,0.9046130902532229,0.90230643279801
18,1.056126349745057,3.047863584034794,1.0,0.8876709193887683,0.880589510618287
19,0.9737782120915048,2.9947468379867925,1.0,0.8823961463376918,0.8852838349873674
20,0.9419489835185525,3.037710552426495,0.9034368827202707,0.8749151977895987,0.9110960109925376
21,1.0244946078599944,2.989396659297922,1.0,0.9030683946803841,0.9092260744479108
22,0.9983966779917458,2.9899670856798735,0.9989028190016319,0.9208056757458792,0.9034384150978891
23,1.062422787943324,3.051428053835539,1.0,0.8966793160183163,0.8935706269026256
24,0.9806974160009752,2.9712053244118533,0.9339061761571681,0.8974791814322423,0.9005582119629749
25,0.9583466889319993,3.027274680685091,0.9668864752694977,0.9025743634626946,0.8897115981608459
